url,title,year,sector
https://www.bbc.co.uk/news/business-64819774,"Starbucks illegally fired US workers over union, judge rules",2023,not mentioned
https://www.bbc.co.uk/news/world-us-canada-67947334,New York synagogue with illegal tunnel receives emergency work orders,2024,not mentioned
https://www.bbc.co.uk/news/articles/czj70ynpm8po,Businessman banned for employing illegal workers,2024,restaurant
https://www.bbc.co.uk/news/articles/c8e40rree3zo,Chip shop's illegal worker warning after Â£40k fine,2025,"retail, shop"
https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-22277883,Illegal workers found at Aberdeen takeaway Khyber Pass,2013,not mentioned
https://www.bbc.co.uk/news/articles/cjw95lyyp0vo,Council battles illegal land work near nuclear site,2025,construction
https://www.bbc.co.uk/news/articles/cy404wyemd9o,Fifteen illegal workers arrested at solar farm,2025,"construction, farm, security"
https://www.bbc.co.uk/news/articles/cwy8ee2w73jo,Illegal working and streams of taxis - BBC gains rare access inside asylum hotels,2025,"delivery, hotel, restaurant, security, taxi"
https://www.bbc.co.uk/news/uk-wales-12254232,'Illegal' workers caught in Border Agency Welsh raids,2011,restaurant
https://www.bbc.co.uk/news/uk-england-norfolk-68685165,Loddon Indian restaurant loses licence for month over illegal workers,2024,"cleaning, restaurant"
https://www.bbc.co.uk/news/uk-wales-north-east-wales-36062701,'Illegal' workers at Wrexham's new super-prison site,2016,construction
https://www.bbc.co.uk/news/av/uk-politics-32823129,Home Secretary Theresa May vows illegal worker crackdown,2015,not mentioned
https://www.bbc.co.uk/news/uk-england-kent-22613998,Six illegal workers found at businesses in Kent,2013,shop
https://www.bbc.co.uk/news/uk-scotland-highlands-islands-23550801,"Illegal workers arrested in Glasgow, Grantown and Mull",2013,shop
https://www.bbc.co.uk/news/articles/c709r8ekn8no,60 delivery riders face deportation after illegal work crackdown,2025,"delivery, restaurant, security"
https://www.bbc.co.uk/news/uk-england-cornwall-15480739,St Austell illegal workers to be deported,2011,restaurant
https://www.bbc.co.uk/news/uk-england-gloucestershire-15075306,Illegal workers found at Gloucester Chopsticks takeaway,2011,not mentioned
https://www.bbc.co.uk/news/uk-northern-ireland-35104939,Pair guilty of employing illegal workers on phone accessory stalls,2015,not mentioned
https://www.bbc.co.uk/news/av/uk-scotland-39621599,Work to clear illegal waste dump near Newton Mearns,2017,not mentioned
https://www.bbc.co.uk/news/uk-england-nottinghamshire-65430558,Worksop man fined for running illegal rubbish dump,2023,construction
https://www.bbc.co.uk/news/av/business-25165472,Saudi crackdown on illegal workers hits small business,2013,not mentioned
https://www.bbc.co.uk/news/articles/ce9gv7k2ym1o,"More than 1,200 textile workers illegally underpaid",2024,retail
https://www.bbc.co.uk/news/uk-england-37708996,Amazon drivers 'work illegal hours',2016,"delivery, retail"
https://www.bbc.co.uk/news/uk-england-lincolnshire-62826181,Holbeach: Restaurant owner admits employing illegal workers,2022,restaurant
https://www.bbc.co.uk/news/business-49710817,Illegal work practices 'far too common' says think tank study,2019,not mentioned
https://www.bbc.co.uk/news/av/world-asia-19388858,Malaysia in crackdown on illegal workers,2012,not mentioned
https://www.bbc.co.uk/news/uk-england-devon-11099033,Four illegal workers found in Plymouth restaurant raid,2010,restaurant
https://www.bbc.co.uk/news/articles/clyky7q5rwqo,Dozens of illegal e-bikes seized in police raids,2025,not mentioned
https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-27187157,'Illegal workers' detained in Kirkwall and Wick,2014,not mentioned
https://www.bbc.co.uk/news/articles/czr1mkml406o,Takeaway and shop fined over illegal workers,2025,shop
https://www.bbc.co.uk/news/articles/cg4rr76lkvro,Illegal workers discovered at karaoke bar,2025,not mentioned
https://www.bbc.co.uk/news/uk-scotland-scotland-business-19464390,Illegal workers found at Dunbar restaurant,2012,restaurant
https://www.bbc.co.uk/news/uk-wales-south-west-wales-11842046,Illegal workers arrested at Pembroke power plant site,2010,construction
https://www.bbc.co.uk/news/uk-england-shropshire-10896936,Illegal workers caught after raid in Ironbridge,2010,restaurant
https://www.bbc.co.uk/news/uk-england-birmingham-65929536,Birmingham raids in crackdown on illegal workers,2023,construction
https://www.bbc.co.uk/news/articles/c5ydp9kx3wvo,Labour suspends councillor over illegal nanny,2025,not mentioned
https://www.bbc.co.uk/news/articles/cewyj8y0dzjo,Restaurant loses licence after illegal worker fine,2025,restaurant
https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-15245369,Illegal workers found at Aberdeen restaurants,2011,not mentioned
https://www.bbc.co.uk/news/articles/cwyql2llqylo,Illegal workers found at town centre businesses,2025,not mentioned
https://www.bbc.co.uk/news/uk-england-stoke-staffordshire-15133558,'Illegal' workers at car company in Tamworth,2011,not mentioned
https://www.bbc.co.uk/news/uk-scotland-43010553,Scottish restaurants caught employing 'illegal workers',2018,not mentioned
https://www.bbc.co.uk/news/uk-northern-ireland-24231490,Ten arrested as Home Office targets illegal workers in NI shopping centres,2013,not mentioned
https://www.bbc.co.uk/news/uk-england-devon-15726508,Arrests in Devon illegal worker raids,2011,not mentioned
https://www.bbc.co.uk/news/uk-scotland-highlands-islands-24397541,Illegal workers arrested in Stornoway on Lewis,2013,not mentioned
https://www.bbc.co.uk/news/articles/cn7x8k2y4kdo,Indian restaurant shut after illegal workers found,2025,restaurant
https://www.bbc.co.uk/news/uk-england-cornwall-39431430,Evidence migrants at Cornwall care homes were working illegally,2017,not mentioned
https://www.bbc.co.uk/news/articles/ce397y7zlyeo,Illegal work arrests surge as police target 'unscrupulous' employers,2025,"construction, delivery, security"
https://www.bbc.co.uk/news/articles/c740vjrp81po,Will digital ID cards stop illegal working?,2025,not mentioned
https://www.bbc.co.uk/news/articles/c4gpw6v6r14o,Illegal worker arrests in Midlands up by third,2025,security
https://www.bbc.co.uk/news/uk-34047686,Immigration Bill: Illegal workers 'may face six months' jail',2015,cleaning
https://www.bbc.co.uk/news/uk-england-surrey-23765353,Illegal workers arrested at Woking restaurant,2013,restaurant
https://www.bbc.co.uk/news/uk-england-tyne-17964885,Five illegal workers held after Ponteland restaurant raid,2012,restaurant
https://www.bbc.co.uk/news/uk-england-somerset-65311650,Posh Spice restaurant in Nailsea loses licence over illegal workers,2023,restaurant
https://www.bbc.co.uk/news/world-europe-51577694,Workers found trapped in illegal tobacco factory in Spain,2020,factory
https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-21474285,Four 'illegal workers' detained in Buckie,2013,restaurant
https://www.bbc.co.uk/news/articles/ckgjd9933k9o,Licence bid for bar that had illegal workers delayed,2025,not mentioned
https://www.bbc.co.uk/news/uk-england-london-50224595,Hundreds of London minicabs could be 'working illegally',2019,"private hire, taxi"
https://www.bbc.co.uk/news/articles/cpvmzm7z04zo,Car wash boss banned after hiring illegal workers,2025,security
https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-19464983,Two illegal workers detained at Echt Tandoori,2012,restaurant
https://www.bbc.co.uk/news/articles/clyxkd3neveo,Takeaway licence revoked over illegal workers,2025,not mentioned
https://www.bbc.co.uk/news/articles/cr4ze0x3z0wo,Nine arrested on suspicion of working illegally,2025,delivery
https://www.bbc.co.uk/news/uk-43837834,Illegal immigration: Has the 'hostile environment' worked?,2018,not mentioned
https://www.bbc.co.uk/news/av/world-us-canada-22103915,Illegal workers hold immigration rally in Washington,2013,not mentioned
https://www.bbc.co.uk/news/articles/czxnppz3yplo,Home Office arrests more than 200 people for 'working illegally' in NI,2025,delivery
https://www.bbc.co.uk/news/uk-england-manchester-11666220,'Illegal worker' caught at Greater Manchester Police HQ,2010,"construction, security"
https://www.bbc.co.uk/news/articles/cx2n3z03yrro,Restaurant could lose licence over illegal workers,2025,restaurant
https://www.bbc.co.uk/news/articles/cy85zrlp81mo,Licence bid pulled at bar that had illegal workers,2025,not mentioned
https://www.bbc.co.uk/news/articles/cly17egjryxo,Cibo restaurant fined Â£80k for hiring illegal workers,2025,restaurant
https://www.bbc.co.uk/news/articles/cq50n5pd2ejo,Paralegal sacked after offering to help dodge Â£60k illegal working fines,2025,not mentioned
https://www.bbc.co.uk/news/uk-scotland-highlands-islands-11841566,Illegal workers found at Inverness restaurants,2010,not mentioned
https://www.bbc.co.uk/news/articles/c04vqzp6x31o,Reform councillor's firm fined over illegal worker,2025,not mentioned
https://www.bbc.co.uk/news/articles/cr5r6dz1yj8o,Restaurant with illegal workers loses alcohol licence,2025,restaurant
https://www.bbc.co.uk/news/uk-england-oxfordshire-14247190,Illegal workers found at Oxfordshire and Twickenham restaurants,2011,not mentioned
https://www.bbc.co.uk/news/uk-england-kent-26852557,Illegal worker arrests on the rise in Kent,2014,not mentioned
