url,title,year,text,sector,nationality
https://www.bbc.co.uk/news/uk-england-london-63184790,Turkish and Kurdish workers face exploitation in London says report,2022,"taner olmez (right) is kurdish and says he has often had to work for low pay with no annual leave

turkish and kurdish workers are being exploited due to a lack of knowledge about workers' rights, according to a report.

the refugee and workers cultural association (rwca), which wrote the report, said hundreds of workers reported low wages and no holiday or sick pay.

one worker described it as a ""vicious circle"" due to limited work options.

the rwca said information on rights should be available in more languages.

taner olmez is kurdish and has had several jobs since arriving in the uk three years ago.

in one, he worked six days a week, 12 hours a day for just â£320 a week.

he said: ""there was no reference to a holiday pay - if i didn't turn up i didn't get paid"".

he knows of many others in london who have been in the same position.

of the hundreds of turkish and kurdish migrant workers interviewed in the city, many also reported long hours without excess pay, and facing bullying and harassment in the work place.

one worker spoken to in compiling the report told researchers: ""we live in a vicious circle in the service sector. i am on annual leave, but i am not paid. i said that my child was born, i couldn't even take a day off from work to go to him.""

one third of the workers interviewed were working illegally and the rwca said this led to ""additional victimisation and exploitation"" by employers who abuse the situation.

ibrahim avcil says some of the conditions sounded like a third world country and not the uk

ibrahim avcil of the rwca said: ""we were extremely shocked to find out that the conditions these turkish and kurdish employees work under are extreme. you would think you would not see [them] in the uk but a third world country.""

the report made a number of recommendations, which included a called for enforcement of employment rights, better education for employers and employees, and resources in other languages for all ethnicities living in london.

it also recommended protection for workers who report breaches.

follow bbc london onfacebook,external,twitter,externalandinstagram,external. send your story ideas tohellobbclondon@bbc.co.uk,external",not mentioned,not mentioned
https://www.bbc.co.uk/news/uk-england-london-65313936,London Overground: Design work for West London Orbital route begins,2023,"tfl hopes the west london orbital service could start running in the early 2030s

plans for a new london overground link in west london are progressing, london's mayor sadiq khan has said.

engineering consultants who worked on the elizabeth line have been chosen for thewest london orbital service,external.

""this engineering design will help determine the cost of delivering the scheme, which is currently unfunded,"" transport for london (tfl) said.

it hopes the scheme, which would connect hounslow with hendon and west hampstead, could start next decade.

elizabeth line: what rail services will come next?

the design work is being funded by the west london alliance, a partnership between the boroughs of barnet, brent, ealing, hammersmith and fulham, harrow, hillingdon and hounslow.

it will be carried out by international engineering consultancy mott macdonald, tfl told bbc london.

the company previously advised on the elizabeth line's route, structures and rail systems.

a proposed route for the west london orbital service

last month the mayor of london was asked to provide an update on the project's progress by elly baker, labour assembly member (am) at city hall.

in a written answer, he said the modelling and consulting work would ""lead to an updated business case for the scheme and confirmation of the stations to be served"".

he added that a network rail timetable assessment found the ""west london orbital service is expected to be achievable"".

old oak common is expected to become a new super-hub station

if it goes ahead the route would span approximately 11.5 miles (18.5km) across four boroughs and make use of track currently used by freight services in west london, tfl proposals state.

four new stations would be built along the route, while old oak common is expected to become a new super-hub station, connecting the overground to high speed two (hs2) services and the elizabeth line.

the plans are not yet approved and a public consultation about the route will be held in the future.

follow bbc london onfacebook,external,twitter,externalandinstagram,external. send your story ideas tohellobbclondon@bbc.co.uk,external",not mentioned,not mentioned
https://www.bbc.co.uk/news/uk-england-london-13886174,Job cuts deal halts strike by postal workers in London,2011,"the union said up to 3,500 royal mail staff would strike unless reassurances were given over jobs

strike action by postal workers in london has been averted after a union reached a deal with the royal mail in a dispute over job cuts.

the communication workers union (cwu) voted for industrial action on 24 may after royal mail announced plans to close mail centres in the capital.

on thursday, the cwu said it had received guarantees of no compulsory redundancies while proposed changes were rolled out.

workers who were balloted were based at mount pleasant, nine elms at vauxhall, east london mail centre at bow and rathbone place in central london.

they voted to strike by four-to-one in a turnout of 54% after fears centre closures would mean compulsory redundancies.

the union said up to 3,500 royal mail staff would strike unless reassurances were given over job security.

royal mail said the decision to close east and south london mail centres was made after a nine-month consultation with the trade unions.

dave ward, the union's deputy general secretary, described the two-week negotiations as difficult but said staff in london now had ""real choice over their futures"".

""it will mean two out of the seven mail centres within greater london closing in the summer of 2012, but crucially this will now be done in a way that puts people first,"" said mr ward.

""it's an important approach that will bring necessary operational change which looks after staff and customers as well as the company.""

royal mail's regional operations director for london, gerry o'rourke, said: ""we welcome this development.

""we had already made substantial progress on the essential changes to our mail processing operations in london.

""the union's support for our plans means that both royal mail and the cwu can concentrate on working closely with everyone affected to ensure that colleagues get the very best support and advice through what we know is a difficult and sensitive period.""

as a result of the changes 580 people are likely to leave on redundancy terms. more than 670 full-time staff have expressed an interest in taking voluntary redundancy packages.",security,not mentioned
https://www.bbc.co.uk/news/articles/c4nw2r72l5ro,Illegal levels of air toxins found in many boroughs,2023,"levels of the toxin nitrogen dioxide (no2) in the air at five or more locations in 14 london boroughs were found to exceed the uk legal limit of 40 âµg/m3 during tests

in total, sites in 31 boroughs had levels of the pollutant that exceeded the recommended limit set by the world health organisation

the single highest concentration of no2 was found at harlesden high street

the mayor of london believes the study results make the case for the controversial expansion of the ultra low emission zone

levels of the toxin nitrogen dioxide (no2) in the air across 14 london boroughs were found to exceed the uk legal limits, according to a new study from city hall.

the single highest level - of almost three times the legal limit - was found in brent, on harlesden high street.

air quality tests carried out across london also found levels of the toxin broke a recommended limit set by the world health organisation (who).

london mayor sadiq khan said the data was ""shocking proof"" that air quality was a problem ""in every single part of the capital"".

the mayor of london says the results prove the case for expanding the ultra low emission zone to cover the whole of greater london

the study,externalincluded results of testing carried out at 1,823 locations across 31 london boroughs throughout 2021.

london's councils are required to monitor air pollutants in their boroughs each year.

the data could not be compared with previous years as this was the first time an entire dataset hds been compiled and analysed, city hall said.

the who's recommended limit of nitrogen dioxide (10 âµg/m3) was exceeded at all 1, 823 locations tested across 31 boroughs

a uk legal limit (40 âµg/m3) was exceeded in five or more locations in 14 boroughs: brent, the city of london, croydon, ealing, greenwich, hammersmith & fulham, hackney, havering, kensington & chelsea, lambeth, merton, richmond, southwark and wandsworth

in total, illegal levels of no2 were found at one of more sites in 26 boroughs

the locations with the highest concentration of nitrogen dioxide were harlesden high street, romford town centre and wembley high road

however, the number of sites tested within each borough varied significantly - 131 were measured in newham, while just 15 were tested in barnet.

two boroughs, bexley and harrow, did not contribute to the study. bexley council said the results would not have been representative due to the covid-19 pandemic and the cost of testing would have of ""very limited use and a poor use of the public purse"".

it says it will undertake the tests in 2024 and that it works towards uk laws rather than who guidelines.

according to city hall, the results show similar average pollution concentration in inner and outer london, supporting the case to expand the ultra low emission zone (ulez).

the scheme, which charges drivers of the most polluting cars â£12.50 a day to enter, is to be extended from august to cover the whole of greater london.

âthis data is yet more shocking proof that londonâs air quality has been in serious breach of the recognised global standard - and itâs a problem in every single part of the capital,"" mr khan said.

âthis is why i made the difficult decision to expand the ulez london-wide - to help save lives and to give all londoners the right to breathe cleaner air.â

five conservative councils in and around london are to take legal action later this year, in an attempt to stop the expansion.

among them is bexley council, which did not carry out the tests for no2 emissions for this study.

tony devenish am, city hall conservatives environment spokesperson, said the expansion would have a ""negligible"" effect on air quality and a ""devastating impact on low-income families, businesses and charities"".

by tom edwards, bbc london transport & environment correspondent

one of the arguments used by those against ulez expansion is that it isnât needed as air pollution isnât that bad in outer london.

well this latest data published by the mayor is another attempt to prove that it is - in what is becoming an increasingly febrile and political information war.

this data is actually collated and reported by the london boroughs themselves (although 2 didnât participate) and it confirms what health experts have said for a long time - that who limits are breached everywhere in the capital.

and while who limits are lower than the ukâs legal limits, itâs important to remember health experts say there is no proven safe level of pollution.

and while this probably wonât change the minds of those who think ulez expansion isnât needed, it could give more ammunition to those who argue that urban environments are no place for older, more polluting vehicles.

follow bbc london onfacebook,external,twitter,externalandinstagram,external. send your story ideas tohellobbclondon@bbc.co.uk,external",not mentioned,not mentioned
https://www.bbc.co.uk/news/articles/cx2vepjx4plo,New works will mark 25 years of Tube art project,2025,"three women, a mural at brixton tube station by claudette johnson, was created in 2024

transport for london (tfl) says it hopes to ""encourage meaningful conversations between artists and the public"" with four new artworks that will be displayed across the tube network in 2025.

the pieces are part of the art on the underground programme, which marks its 25th anniversary this year.

a work by ahmet ãäã¼t will be unveiled at stratford station in march, and a new pocket tube map featuring a design by agnes denes, based on her work map projections, will be released in the spring.

in june a new audio commission by rory pilgrim will be heard by millions of commuters at waterloo station, and in november a new painting by rudy loewe will become the ninth mural instalment at brixton station.

eleanor pinfield, head of art on the underground, said the commissions were meant to ""foreground interactions"" with art in daily life.

she said: ""across 2025, the programme will interrogate how art can save us and what it means to gather together, in shared space and with local communities.

""seen and heard by millions, the 2025 programme is a response to london today, whilst always reflecting on our past and possible futures.""

existing works in the programme include alexandre da cunha's kinetic sculpture at battersea power station station and mark wallinger's labyrinth across the london underground network.

the first 2025 artwork - to be unveiled on 18 march at stratford station - is a large-scale piece by artist ahmet ãäã¼t called saved by the whale's tail, saved by art.

among the artists in the 2025 programme is rory pilgrim, who created this artwork entitled pink and green visit the prison

mr ãäã¼t's new work was inspired by an incident in 2020 when a train on the rotterdam metro overran the stop blocks at a station on an elevated metro line.

a carriage, at risk of falling into the water beneath, was ""saved"" by a 10m-high public art sculpture of a whale's tail, which prevented its fall.

tfl said: ""this visual metaphor for the power of art to save lives provided the impetus for a project that seeks to uncover many more stories.

""encompassing a major installation alongside a call out to the public for stories that champion, interrogate and celebrate how art has saved lives, the commission culminates in a prize for the most moving submission, for which ãäã¼t has created a sculpture akin to an award ceremony trophy to be awarded later in 2025.""

works that debuted as part of art on the underground in 2024 included:

the permanent mosaicangels of history by quinlan and hastings,externalat st james's park

three women,external, a mural at brixton tube station by turner prize nominee claudette johnson

a taste of home,external, a series of artworks in the rotunda at heathrow terminal 4 underground station by british artist and photographer joy gregory.

listen to the best of bbc radio london onsoundsand follow bbc london onfacebook,external,x,externalandinstagram,external. send your story ideas tohello.bbclondon@bbc.co.uk,external",not mentioned,british
https://www.bbc.co.uk/news/articles/cj97rv0e0x9o,Airbnb to accommodate domestic abuse survivors,2025,"in london there were more than 90,000 recorded cases of domestic abuse in the year to august

charity women's aid will work with a leading online short-term let provider and city hall to give emergency accommodation to some of london's domestic abuse survivors.

a pilot scheme will provide up to 60 survivors and their children with free emergency accommodation in airbnb-listed properties across london for up to two weeks.

survivors will also get one-to-one support such as legal advice, advocacy and translation, and help with practicalities like transport.

farah nazeer, chief executive of women's aid, said the pilot ""will be a valuable opportunity for us to see the impact that these collaborations can have"".

ms nazeer added: ""systemic underfunding of specialist services has sadly meant that victims and survivors seeking support have been turned away at a point of crisis, with refuges operating a 60% refusal rate.

""collaborations such as these will mean survivors now have options, instead of facing imminent homelessness or being forced to return to the abuser.""

in london there were more than 90,000 cases of domestic abuse recorded by the police in the year to august 2025.

mayor of london sir sadiq khan said he was supporting the new pilot with up to â£50,000, matched by a â£50,000 commitment from airbnb and a further â£10,000 fromâ¯women's aid in addition to the use of their london refuges.

staff from women's aid will use the airbnb platform to book the accommodation on behalf of the survivors, and safeguarding checks have been taken ahead of approving each listed property being offered as part of the pilot.

city hall said the pilot would run until the end of the year and if successful it may open the door to additional future partnership projects to support survivors of domestic abuse.

sir sadiq said: ""i am committed to continuing to work with partners to explore innovations to ensure survivors can access the care and support they need, whilst also working with the met to go after perpetrators of these heinous crimes.""

the mayor said he had previously allocated â£54m to the domestic abuse safe accommodation programme, which has helped more than 40,000 survivors of domestic abuse since it launched in 2021.

listen to the best of bbc radio london onsoundsand follow bbc london onfacebook,external,x,externalandinstagram,external. send your story ideas tohello.bbclondon@bbc.co.uk,external",not mentioned,not mentioned
https://www.bbc.co.uk/news/videos/cze6r4nn5leo,Watch: Worker filmed hurling Lime Bikes dismissed,2025,"a contractor for the bike rental company lime has been dismissed after being filmed repeatedly throwing bikes from a van onto the street, leaving several partially damaged.

footage sent to the bbc shows multiple lime bikes being thrown from a white van into a dockless bike hire bay in clapham at 21:05 bst on wednesday 22 october. photos taken the following morning showed small parts of the bikes had fallen off.

the person who filmed the incident told the bbc ""we get two to four vans a night, up to 1am, even on weeknights. they're often blasting music.""

a lime spokesperson said ""this kind of behaviour is totally unacceptable. our team was alerted to the incident last week and within 24 hours we had confirmation from our third-party contractor that the individual involved was permanently dismissed"".

lambeth council said it had contacted lime over the ""unacceptable behaviour"", adding: ""we need providers like lime to step up and work with us to ensure their fleets are properly managed.""

follow bbc london onfacebook,external,twitter,externalandinstagram,external. send your story ideas tohellobbclondon@bbc.co.uk,external.",not mentioned,not mentioned
https://www.bbc.co.uk/news/uk-england-london-53208632,Two illegal street parties in London closed down by police,2020,"police said the events at clapham common, pictured, and tooting bec were causing ""significant disruption""

two illegal street parties have been broken up by police during another night of unlawful gatherings in london.

dispersal zones were put in place in clapham common and tooting bec common to clear crowds causing ""significant disruptions"" on saturday night.

the zones allow uniformed officers extra powers to order people to leave the area and not return.

home secretary priti patel has called on people not to attend street parties, protests or mass celebrations.

speaking on bbc one's the andrew marr show, she said: ""as much as people do want to be out right now - the weather is amazing - stick to the rules, follow the guidance.""

she said the rise of mass gatherings held in recent days was ""unacceptable"" and that it risked a second wave of covid-19 which would devastate the uk economy.

ms patel said ""thuggishness and violent behaviour is simply unacceptable"", and more resources would be made available to the police if needed.

she also encouraged people to follow rules and guidance when pubs and restaurants begin to reopen next weekend.

many local residents complained on twitter about the rubbish left behind.

pictures showed bins overflowing, as well as plastic bags, bottles and other waste strewn across the common. the rubbish has now been cleared.

lambeth council, which looks after clapham common, said it had put more bins out and in may, it had taken away an extra 22 tonnes of waste compared to the same time last year.

shirley kermer, chair of friends of clapham common, said: ""when people arrived on the common first thing this morning, there was disbelief, dismay, there were tears and to see it trashed - there's no other word for it - it was trashed.

this article contains content provided by x. we ask for your permission before anything is loaded, as they may be using cookies and other technologies. you may want to readxâs cookie policy,externalandprivacy policy,externalbefore accepting. to view this content chooseâaccept and continueâ.

the met said unlicensed music events were ""unlawful"", ""unregulated"" and officers would close them down.

it saidpolice were ""building relationships"" with communitiesas illegal street parties continued to be held.

on friday unlicensed events were held in newham and another in kensal town which then moved on to maida vale.

on wednesday, more than 20 police officerswere injured during clashes at an illegal street party in brixtonand on thursday night, officers were pelted with objects while trying todisperse a party in notting hill.

objects were thrown at officers as they tried to disperse crowds in notting hill

police attended the latest unlawful events and remained at clapham common and tooting bec common until people had left.

the met said: ""we understand the impact these are having on the local community, officers will remain at both scenes until the events are cleared.""

it said unlicensed music events were organised gatherings covered by different legislation to people not socially distancing in parks.

met commander bas javid said: ""we're maintaining a significant policing presence in london tonight.

""that's because throughout the last week we've seen a series of unlicensed music events take place across london, some of which have descended into disorder.

""these events are unlawful, they are unregulated and we will take a very firm position against them.""",not mentioned,not mentioned
https://www.bbc.co.uk/news/uk-england-london-67805888,London Paddington closes until after Christmas for engineering works,2023,"london paddington will be closed for four days over christmas

london's paddington station has been shut for christmas eve, while most services from kings cross have been cancelled due to engineering works.

network rail said the work was necessary and that it had tried to ""keep disruption to a minimum"".

although the rail closures are expected to cause disruption to passengers, network rail said more than 96% of the rail network would remain open for ""business as usual"".

it added the closures were needed as part of â£127m of investment work ""so that passengers can benefit from better and more reliable services and facilities"".

23 dec-1 jan: work outside london victoria station. southeastern services diverted to blackfriars, charing cross and cannon street

christmas eve-27 dec: no services from london paddington due to hs2 work at old oak common and laying new track at west drayton. long distance services will terminate at reading

christmas eve-27 dec: no heathrow express (piccadilly line trains will still be going to the airport)

christmas eve: most long-distance services cancelled from london kings cross due to signalling work on the east coast main line (trains will run to potters bar, and there will be one service to/from hull)

boxing day: thameslink, gatwick express and other southern services will not run. however, a southern service will run with trains in and out of london victoria serving gatwick airport, brighton, east croydon and sutton

transport for londonhas also published details,externalof the planned works, closures and service changes that will affect journeys over the christmas period.

christmas eve: closures on the district line, london overground, elizabeth line and dlr. there are no services on the waterloo & city line

boxing day: reduced service on the bakerloo line, district line, london overground and dlr. no services on the elizabeth and waterloo & city lines

christmas eve: there will be sunday timetables on day bus routes. there will be no night bus services and 24-hour routes will finish at about midnight

boxing day: there will be sunday timetables on day bus routes

a spokesperson from transport watchdog london travelwatch said: ""we recognise that engineering work needs to take place regularly on the railway, especially around safety-critical maintenance of tracks and signalling.

""so, it's good to see this work is taking place over the christmas holidays, when fewer people tend to travel and it will hopefully be less disruptive.

""passengers need clear and timely advice from transport companies and network rail, so they don't get caught out if they do need to travel over the festive period.""

network rail advised passengers to check before travelling. it said any alternative arrangements that were in place could be found online at national rail enquiries.

listen to the best of bbc radio london onsoundsand follow bbc london onfacebook,external,x,externalandinstagram,external. send your story ideas tohello.bbclondon@bbc.co.uk,external",not mentioned,not mentioned
https://www.bbc.co.uk/news/uk-england-london-68345447,London's working class projects receive Â£180k in grants,2024,"initiatives given funding include ones focusing on local protests, homelessness in a 'cardboard city', and a rastafari community at a squat

heritage projects across the capital are set to receive a share of a â£180,000 grant from historic england.

nursery workers' strikes, homelessness in a 'cardboard city', and a rastafari community at a long-running squat are among the eight projects to benefit.

tom foxall from historic england said the awardees ""shine an important light on our working class heritage"".

the group's everyday heritage programme set up in 2022 aims to showcase the diversity of england's heritage.

it is part of the organisation's commitment to ""ensuring that a wider range of people are able to connect with, enjoy and benefit from the historic environment"".

so far 57 projects across england have received funding, with a further 56 - including the eight in london - forming the newest list of recipients.

non-profit cooperative organisation on the record will receive more than â£12,000 for its plans to record and share the history of the islington nursery workers' strike 40 years ago, when roughly 160 people went on strike.

following the strikes the workers secured improvements in the standard of care given to children

the workers were predominantly women - many from minority ethnic backgrounds - who were calling for a lower ratio of staff to children in the nurseries.

following two strikes in 1984 and 1989 workers secured improvements in the standard of care given to children and created a better working environment for themselves.

this research may be turned into a podcast, a piece of radio theatre or an audio walking tour linking the nursery sites.

kingswood arts has been awarded â£25,000 to work with local people over 12 months to create a permanent exhibition exploring the working-class history of kingswood house from 1811 to the present day.

nearby residents will record their experiences at the grade ii listed victorian 'castle' in the middle of a council estate near sydenham hill station.

injured canadian soldiers stayed at kingswood house when it was used as the massey-harris convalescent home

the initiative aims to trace working-class life through its time as a private house to a wartime hospital, and later as a library and community centre.

eastside community heritage has been awarded more than â£21,000 to mark the history of aspiring bands from working class backgrounds at the bridge house pub in canning town from 1975 to 1982.

the venue became a leading live music destination and hosted an eclectic mix of music from iron maiden to dire straits and chas & dave to depeche mode, as well as boosting the profile of bands like paul youngs' q-tips.

taken early on a monday morning after a long weekend of gigging, this q tips promotional shot became known as 'the hangover shot'

bridge house also became one of the first pubs to launch its own record label.

as part of the project, oral histories and pop-up exhibitions are planned to capture the stories of people who came to socialise, listen to live music and perform.

historic england has given almost â£25,000 for a project led by artists and people with experience of homelessness looking at 'cardboard city', an encampment made from hundreds of cardboard boxes in the underpasses between waterloo station and the south bank.

a bench dedicated to the homeless community will form a key part of the cardboard city project

the area housed thousands of rough sleepers over 20 years in the 1980s and 1990s, but st john's church charity the bridge at waterloo said many of those who lived there are now in poor health or have passed away.

the groups now want to remember and memorialise what they call the ""neglected heritage of homeless people in the area"" by speaking with former residents of cardboard city, those who supported them, and local residents and researching objects linked to the time.

china exchange has also been given nearly â£25,000 in funding to explore the hidden stories of people working in chinatown from 1985 to the present day when the area is home to more than 150 diverse businesses.

china exchange said chinatown is a place of work for thousands of ethnically, culturally and socially diverse londoners

the cultural events organisation is planning to reveal and share stories of ordinary workers in chinatown including short and long-form recorded interviews.

house of dread's project will explore and document the untold stories of the rastafari community in what is thought to be london's longest-running squat at st agnes place in kennington.

the squat existed for more than three decades and became a meeting point for the rastafari community and by the 1980s became locally known as house of dread.

now historian dr aleema gray and a group of community producers will work with rastafari movement uk to coordinate a series of community conversations and collecting days.

they have been awarded â£24,980, with the goal of making a digital learning resource to examine how and why st agnes place evolved.

tom foxall, historic england regional director, said: ""there are so many hidden histories to uncover here in london. every community has a story to tell and we want to hear them.

""this is the strength of our everyday heritage grant programme, which funds projects that are community-led and really engage with local people by empowering them to research and tell their own stories.""

listen to the best of bbc radio london onsoundsand follow bbc london onfacebook,external,x,externalandinstagram,external. send your story ideas tohello.bbclondon@bbc.co.uk,external",not mentioned,not mentioned
