url,title,year,text
https://www.bbc.co.uk/news/uk-england-surrey-22105178,More Surrey illegal working raids planned by Home Office,2013,"More raids targeting illegal workers are planned after four people were arrested during a raid on a restaurant in Surrey.

Immigration officers from the Home Office raided the Lal Akash restaurant in Leatherhead on Monday.

Out of the six staff there, five were found not to have any right to work in the UK, the spokesman said.

Four men from Bangladesh were detained, pending removal from the UK, for overstaying their visas.

A fifth man, who had an outstanding immigration case, was escorted from the building and will have to report to the Home Office pending a decision on his case.

Paul Smith, from the Surrey immigration enforcement team, said: ""This is the latest in a series of operations targeting illegal working in Surrey and more are planned.

""Where we find people living and working illegally in the UK we will seek to remove them."""
https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-19464983,Two illegal workers detained at Echt Tandoori,2012,"Two illegal workers were detained at an Aberdeenshire restaurant, the UK Border Agency has said.

Officers targeted Echt Tandoori on Thursday night and two Bangladeshi men will now be removed from the UK.

The business will be served with a penalty notice, asking for evidence of checks that were made.

Adam Scarcliffe, assistant director of the UK Border Agency in Scotland, said: ""Offenders should know that there is no hiding place."""
https://www.bbc.co.uk/news/uk-england-lincolnshire-13024586,Moves to deport Stamford illegal workers,2011,"The UK Border Agency has said it is taking action to deport five illegal workers caught during raids on businesses in Stamford, Lincolnshire.

Two Bangladeshi men who had illegally entered the UK were found at the Saffron Lounge restaurant on Main Road.

Two failed Vietnamese asylum seekers - a man and woman - were caught at The Lounge Nail Bar on St Mary's Street, along with a male illegal immigrant.

Both firms were issued with spot fines after the raids at the end of March.

Between 1 April 2010 and 31 March 2011 the agency found 73 illegal workers at 39 businesses across Lincolnshire."
https://www.bbc.co.uk/news/uk-23535938,Two-thirds of fines for illegal workers uncollected,2013,"Two-thirds of fines imposed on employers of illegal workers have been uncollected in the past five years, the BBC has learnt.

A Freedom of Information request found the Home Office had issued almost Â£80m in fines but collected Â£25m.

Restaurants and take-aways incurred the most fines - more than Â£55m.

Meanwhile, immigration enforcement officers have been taking part in 200 raids and have arrested 101 suspected illegal immigrants across the country.

The Home Office has been running the major illegal workers crackdown.

The data on fines collected by BBC News relates to the civil penalty system through which the Home Office can fine an employer up to Â£10,000 if they are found to have an illegal immigrant on their books.

The figures show that more than 8,500 penalties totalling Â£79,300,000 were issued between 2008/09 and 2012/13, but two-thirds of that total remains uncollected.

In the first year that the fines system was in operation, there were Â£16.7m in fines - but only Â£1.3m of that was collected. Since then, the amount collected has increased to more than Â£6m a year.

The businesses that have received the most penalties include restaurants, take-aways, car washes, factories, food producers and small shops. More than 150 supermarkets were also fined for having illegal workers.

In its response to the BBC's FOI request, the Home Office said some of the original fines may have been reduced or cancelled after appeals. Some employers may have also gone out of business - while others could have asked to pay in instalments.

A Home Office spokesman said: ""The government is determined to take effective action to reduce illegal migration, and to tackle illegal working. Giving employers hefty fines if they employ illegal immigrants is a key part of this.

""As part of our upcoming Immigration Bill, we will take even tougher action against businesses which use illegal labour and will double the fines levied against rogue employers. The Bill will also strengthen our ability to enforce unpaid fines.""

In the last financial year, there were more than 5,000 illegal workers operations resulting in some 4,500 arrests.

Speaking about Thursday's enforcement operations, immigration minister Mark Harper said: ""Today's arrests highlight the routine work we are carrying out every day to stamp out illegal working.

""We are sending a clear message to employers who choose to use illegal labour: we will find you and you will pay a heavy penalty.

""Illegal working undercuts legitimate businesses and is often linked to exploitative behaviour such as tax evasion and harmful working conditions. We will not allow the growth of a shadow economy for illegal migrants.""

FOI data conducted by BBC Researcher Laura Francis."
https://www.bbc.co.uk/news/uk-england-devon-11099033,Four illegal workers found in Plymouth restaurant raid,2010,"Four illegal workers have been found at a restaurant in Devon.

The discovery was made during a raid by UK Border Agency staff on the Nibana Restaurant in Crownhill, Plymouth, on Tuesday evening.

The illegal workers are an 18-year-old Iranian man and three Bangladeshi men, aged 22, 24 and 27.

The operation was part of planned nationwide action to tackle illegal working, sham marriages, bogus colleges and organised immigration crime.

After checking the immigration status of staff, three men were found to have no right to work in the UK.

They have immigration applications currently being processed, but do not have permission to work.

If these applications are turned down, the men will be deported.

One of the men told officers he had permission to work in the UK and initial checks indicated this was the case, but it emerged that his visa had expired in July and he was therefore in the UK illegally.

Officers returned to the restaurant on Wednesday and arrested the 24-year-old Bangladeshi.

He and the 27-year-old man are both being held in immigration detention pending their removal from the UK.

The restaurant was given a civil penalty notice warning the employer a fine of up to Â£40,000 - Â£10,000 per illegal worker - will be imposed unless proof is provided that right-to-work checks were carried out on the men.

Immigration Minister Damian Green said: ""We are determined to make it harder than ever for illegal immigrants to come to the UK.

""Illegal immigration puts pressure on public services, local communities and legitimate businesses at a time when this country cannot afford it."""
https://www.bbc.co.uk/news/uk-england-humber-12757942,Three arrests in Hull illegal worker raids,2011,"Three men have been arrested in an operation targeting illegal workers in Hull restaurants.

The UK Border Agency raided restaurants where it was suspected they were using illegal workers.

Two Bangladeshi men were arrested at the Bengal Lounge on Princess Avenue and a Chinese man was arrested at The Great Wall on Newstead Street.

Two men have been detained for deportation. The restaurants were fined Â£10,000 for each illegal worker.

A 31-year-old Bangladeshi man was detained for deportation after his visa was found to have expired.

A 22-year-old was arrested for not having permission to work and released on bail.

The Chinese man, 30, suspected of entering the UK illegally was arrested and detained while plans are made to send him home.

Alison Hardie, from the UK Border Agency said: ""It is vital for businesses taking on foreign staff to ensure that they have permission to work.

""Employers who ignore their responsibilities and do not make the necessary checks are taking jobs away from those entitled to work and face serious financial penalties.""

In 2010 more than 1,350 people were returned to their home countries from across Yorkshire and the Humber region for working illegally."
https://www.bbc.co.uk/news/uk-wales-south-west-wales-11846338,28 illegal workers found at Pembrokeshire power plant,2010,"A raid has found 28 illegal workers at the construction site of the new Pembroke Power Station.

The UK Border Agency said the men, all from India, were employed by a sub contractor and had no legal right to work in the UK.

It said the sub-contractor had been served with a civil penalty notice for employing illegal workers.

The site has been the scene of demonstrations by people demanding jobs be given to British workers.

The border agency said acting on information its officers and Dyfed-Powys Police went to the power station early on Thursday.

Eleven of those held remain in immigration detention pending deportation.

Sixteen have been placed on immigration bail while the border agency secures the emergency travel documents necessary to deport them.

One man has been arrested by police on suspicion of using a false identity document.

Julian Smith, head of the border agency's south west Wales immigration team, said if their employer was unable to prove right-to-work checks were carried out a fine of up to Â£10,000 would be imposed for each worker.

""This was a very complex operation which involved questioning 51 workers and carrying out searches of five residential addresses,"" he said.

""It was by far the biggest illegal working operation in Wales this year.

""I hope this sends out a message to other employers that you need to ensure your staff are entitled to work in the UK.

""We don't expect employers to be experts at detecting forgeries - that's our job - but there is a legal obligation to carry out basic checks during the recruitment process.

""Illegal immigration takes employment away from the resident labour market.

""There are strict controls on the numbers of foreign nationals that can come to the UK in search of work.""

Immigration Minister Damian Green said: ""This operation is among many being carried out across the country following the success of a major crackdown on immigration crime during the summer, which generated a large number of arrests, cash seizures and prosecutions as well as fresh intelligence.

""Illegal immigration puts huge pressure on the public purse at a time when the country can least afford it.

""Together with the police and the Serious Organised Crime Agency we will continue to make life as difficult as possible for those who cheat the immigration system.""

Once completed the power station, which will be run by RWE npower, will be the largest of its kind in Wales.

There are around 1,500 construction staff working on the plant."
https://www.bbc.co.uk/news/av/world-asia-19388858,Malaysia in crackdown on illegal workers,2012,"Half of the four million foreigners in Malaysia are thought to be illegal immigrants.

To manage its foreign population better, the government began offering amnesty and work visas last year.

The amnesty deadline has passed, but officials believe there are still many foreigners working illegally in the country.

Jennifer Pak has been on patrol with an immigration unit in Selangor state."
https://www.bbc.co.uk/news/articles/czj70ynpm8po,Businessman banned for employing illegal workers,2024,"A businessman has been banned from running companies for 10 years for employing illegal workers.

Edris Ali hired two illegal workers at the Tasty pizza restaurant in Hartlepool and another four at Bubbles Car Valeting in Guisborough.

They were discovered during Immigration Enforcement visits in 2020 and 2022.

Dave Magrath, from the Insolvency Agency, said Ali ""failed in his statutory duties by employing these six people who did not have the right to work in the UK"".

""Employers hiring illegal workers defrauds the public purse and puts potentially vulnerable people at risk of exploitation,"" he added.

Immigration Enforcement visited the restaurant in January 2020 and found two Iranian men in their 30s working illegally.

In October 2022, a visit to the hand car wash found four men in their 20s from Iran, Sudan and Ivory Coast working at the site.

Ali, 39, of Lorne Street, Middlesbrough, had been working as a director at the two companies in 2019 but resigned in 2022.

After the discovery, Hama Tasty Ltd was fined Â£20,000, while Bubbles Car Valeting was handed a Â£60,000 fine for the immigration breaches.

Ali was given a disqualification order at the High Court in London last month, and  the 10-year ban came into force on Tuesday.

The ban prevents him from being involved in the promotion, formation or management of a company without the permission of the court.

He was also ordered to pay Â£9,884 in costs.

The Home Office's Theresa Gregory said: ""Employers have a responsibility to carry out thorough checks on individuals prior to employment to ensure they have the right to work in the UK.

""A failure to do so may lead to further action being taken by the regulator.""

Follow BBC Tees onX,,externalFacebook,external,NextdoorandInstagram,external. Send your story ideas to northeastandcumbria@bbc.co.uk."
https://www.bbc.co.uk/news/articles/c80ndzkdgw4o,Pizza boss banned for hiring two illegal workers,2024,"A pizzeria owner from Cumbria who hired two illegal workers has been banned from being a company director for six years.

Dondu Ozmicco, 35,  employed the workers at Flames Pizzeria in Ulverston, without doing right-to-work checks.

Immigration Enforcement fined the business Â£20,000 after they raided the premises in 2020.

The business went into liquidation in March 2022.

Kevin Read, chief investigator at the Insolvency Service, said: âDonduâ¯Ozmiccoâsâ¯failureâ¯toâ¯ensureâ¯theâ¯requiredâ¯right-to-work checks were carried out led to the employment of two illegal workers, in contravention of the Immigration, Asylum and Nationality Act 2006.

âThis represents a serious breach of legislation and of the standards expected of company directors.""

Ms Ozmicco, of Scale Hall Lane, Lancaster, was the sole director of Flames Pizzeria â NM Catering Ltd, from its formation in December 2019 until it entered liquidation in March 2022.

The pizzeria was visited by officers from Immigration Enforcement in October 2020 and the company was found to be employing two illegal workers.

Aâ¯civilâ¯penaltyâ¯ofâ¯Â£20,000â¯wasâ¯issuedâ¯by Immigration Enforcement in March 2021 which remained unpaid at liquidation.

One of the workers said he had worked at the premises for between one and two weeks.

HM Inspector Kendal Barnett, Home Office Immigration Enforcement said: âIllegal working cheats honest workers out of employment, puts vulnerable people at risk, and defrauds the public purse.

âWe will continue to work with partners including the Insolvency Service, as well as law enforcement agencies to tackle illegal migration in all its forms.â

The Secretary of State for Business and Trade accepted a disqualification undertaking from Ms Ozmicco, and her six-year ban began on 10 January.

It prevents her from becoming involved in the promotion, formation or management of a company, without the permission of the court."
