url,title,year,text,large_region,local_region
https://www.bbc.co.uk/news/articles/czr1mkml406o,Takeaway and shop fined over illegal workers,2025,"Papa Gino's in Birkenhead was fined Â£45,000 over employing illegal workers

A takeaway and a shop said by the Home Office to be employing illegal workers have been fined a total of Â£85,000.

Papa Gino's on Grange Mount, Birkenhead, and the Day Choice Convenience Store on Pasture Road in Moreton, are now having their licences reviewed by Wirral Council.

Both reviews are ""in relation to the premises employing individuals who are not entitled to work in the UK"".

The takeaway was fined Â£45,000 and the convenience store was given a Â£40,000 penalty.

According to the Local Democracy Reporting Service, immigration enforcement teams went to Papa Gino's in December 2024 after receiving intelligence about illegal workers.

They went to the shop in September 2024 and arrested a man for breach of bail because he had no permission to work in the UK.

The convenience store in Pasture Road, Moreton, was fined Â£40,000

A Home Office spokesperson said: ""Illegal working undermines honest employers, undercuts local wages, and fuels the criminal industry of immigration crime. This government is determined to clamp down on that illegal activity in every sector where it occurs, including retailers.

""Under this government, enforcement action nationwide has increased, with visits and arrests up by around 50% on the previous twelve months, and we will be stepping up that action further in the year ahead.""

Six businesses in Wirral were fined by the UK Government between January and March 2025.

Tell us which stories we should cover on Merseyside

Listen to the best ofBBC Radio Merseyside on Soundsand follow BBC Merseyside onFacebook,external,X,external, andInstagram,external. You can also send story ideas via Whatsapp to 0808 100 2230.",England,Liverpool
https://www.bbc.co.uk/news/articles/cwy66peqqzxo,Chicken bar with illegal workers could lose licence,2025,"Roy Francis, who is responsible for Chicken N Beer's premises licence, is no longer a director of the company that controls it

A chicken bar where two illegal workers were found after a raid by immigration officials should be stripped of its licence to sell alcohol, police said.

The man and woman ran out of the back of Chicken N Beer in Stanfield Road, Bournemouth, when they were spotted by the officials in February.

HM Immigration Enforcement said the man entered the UK illegally on a small boat in 2022 and that neither of them had ever been allowed to work in the country.

The bar's premises licence holder, Roy Francis, said he had stepped down from being a director of the company that runs it before the man and woman were found working there.

BCP Council's licensing sub-committee was told the man's claim for protection was withdrawn in February 2024 after he absconded.

He told immigrations officials he had worked as a cleaner at Chicken N Beer for ""nearly a month"" and said he provided no official documentation to prove his right to work.

The woman entered the UK on a student visa in 2023 but her student leave expired in May 2024.

She claimed protection, which is still under consideration, last November.

The pair said they werepaid below the minimum wage and in cash,external, with the man telling officials he received Â£6 an hour for working three hours a day.

Mr Francis said the management of the venue's licence is set to be transferred to another company.

But BCP Council said that while it has received an application for the transfer, it has not received any payment for it.

The licensing sub-committee will make a decision on the licence, which could result in it being revoked, changed or left as it is, within the next five working days.

Do you have a story BBC Dorset should cover?

You can followBBC DorsetonFacebook,external,X,external, orInstagram,external.",England,Dorset
https://www.bbc.co.uk/news/uk-scotland-glasgow-west-26838914,Illegal workers detained at Rothesay restaurants,2014,"Six illegal workers have been detained at four restaurants in Rothesay on the Isle of Bute.

Home Office officials targeted the Indian Pavilion, Bute Asia, Jade Garden and Shonar Goan on Friday night.

They held two Indian nationals, aged 23 and 32, two Bangladeshi nationals, aged 24 and 51, a 42-year-old Argentinean and a 36-year-old from Myanmar.

The owner of each business faces a potential liability of up to Â£10,000 per illegal worker employed.

The Bute Asia and Shonar Goan both face penalties of up to Â£20,000 each and the Indian Pavilion and Jade Garden face a penalty of Â£10,000 each.",Scotland,Scotland Politics
https://www.bbc.co.uk/news/articles/c4gpw6v6r14o,Illegal worker arrests in Midlands up by third,2025,"The Home Office said immigration enforcement teams in the Midlands searched more than 100 sites

More than 100 migrants were arrested in a month in the Midlands as part ofa UK-wide crackdown on illegal working, the government said.

In January, 131 sites were raided in the region with 106 arrests, a 34% rise on the same month in 2024.

Across the UK, arrests in the month rose to 609, a 73% increase and a Home Office spokesperson said staff searched 828 premises including nail bars and car washes.

Home Office Minister Dame Angela Eagle said the government had put out footage of some raids in an effort to send a message with ""imagery as well as words"".

The Home Office spokesperson said a significant proportion of January's raids were at restaurants, takeaways and cafes.

Employers could face a fine of up to Â£60,000 per worker if found liable.

Later, the government's Border Security, Asylum and Immigration Bill will be debated in the House of Commons in its second reading.

The bill aims to introduce a raft of new offencesand counter terrorism-style powers to clamp down on people smugglers bringing migrants across the Channel.

Shadow Home Secretary Chris Philp called it a ""weak bill that won't stop the boats"".

Tell us which stories we should cover in Birmingham and the Black Country

Follow BBC Birmingham onBBC Sounds,Facebook,external,X,externalandInstagram,external.",England,
https://www.bbc.co.uk/news/articles/cpvmzm7z04zo,Car wash boss banned after hiring illegal workers,2025,"Mohamed Hamza's actions were a ""serious breach"" of legislation, the Insolvency Service said

The owner of a Lincolnshire car wash has been banned from running a company for five years after employing illegal workers.

Mohamed Hamza, 34, of Granville Road, Peterborough, hired the workers from Syria and Egypt to work at M&H Car Wash on Enterprise Way in Pinchbeck, near Spalding.

The business was fined Â£20,000 after the two workers, a man in his 20s and a man in his 30s, were discovered during an immigration enforcement visit in 2022.

Dame Angela Eagle, the minister for border security and asylum, said: ""Anyone who thinks they can profit from illegal working in the UK can think again. I am pleased to see justice has been served.""

The disqualification means Hamza cannot be involved in the promotion, formation or management of a company in the UK without permission from a court.

The fine was unpaid when the business went into liquidation in August 2022 with liabilities of more than Â£44,000, the Insolvency Service said.

Kevin Read, chief investigator at the Insolvency Service, described Hamza's actions as ""a serious breach of legislation and of the standards expected of company directors"".

Dame Angela added: ""We know that many people who come to the UK and end up working illegally often do so under extremely poor conditions and are frequently sold a false narrative about their ability to live and work here.

""That's why we're ramping up our enforcement work to tackle smuggling gangs and make sure those who abuse our immigration system face the full consequences.""

Listen to highlights fromLincolnshire on BBC Sounds, watch thelatest episode of Look Northor tell us about a story you think we should be coveringhere,external.",England,
https://www.bbc.co.uk/news/uk-northern-ireland-24231490,Ten arrested as Home Office targets illegal workers in NI shopping centres,2013,"Immigration officials carried out checks at 19 locations across Northern Ireland

Ten people have been arrested during raids on suspected illegal workers at shopping centres in Northern Ireland.

The operation targeted mobile phone accessory stalls in 19 locations.

They included shopping malls in Belfast, Bangor, Londonderry, Lisburn, Newtownards, Armagh, Portadown, Dungannon and Enniskillen.

The raids were carried out by Home Office criminal investigation and immigration enforcement teams, assisted by PSNI and Police Scotland officers.

The arrests included seven Pakistani men aged 24 to 31 who were working illegally. Four of them had overstayed their visas, two were working in breach of their visas and one had entered the country illegally.

Three Indian men aged 22, 27 and 29, who were working illegally having overstayed their visas, were also arrested.

All those arrested are currently in Home Office detention while steps are being taken to remove them from the country.

The teams questioned staff at the mobile phone accessory stalls to check if they had the right to work and live in the UK during co-ordinated raids on Tuesday.

Mike Golden from the Home Office said: ""It was one of the largest operations that we've done in Northern Ireland.

""We may prosecute and we will certainly look to, where we can, remove people who shouldn't be in the UK back to their home countries.""

Mr Golden said more arrests could take place in the coming days.",UK,
https://www.bbc.co.uk/news/uk-scotland-highlands-islands-21275022,Illegal workers arrested in Brora in Sutherland,2013,"Three men from Bangladesh have been arrested after working illegally in a Highland town.

The UK Border Agency and Northern Constabulary made the arrests at the Spice restaurant in Brora on Wednesday.

Immigration status of staff at the business was checked by the officers and the three were found to be working illegally.

Arrangements were being made to remove the three men from the country, the UK Border Agency said.",Scotland,Scotland Politics
https://www.bbc.co.uk/news/uk-england-essex-11398670,Illegal workers found at car wash in Colchester,2010,"A raid on a car wash in Essex led to the discovery of seven immigration offenders, including a couple and their 10-year-old daughter.

The UK Border Agency found three men working illegally at Progressive Car Wash in Colchester on Wednesday.

The wife and daughter of one of the men were found to be living in the workers' shared house in Braintree, along with two women who were working illegally.

All seven are from Malawi and now face being removed from the UK.

One of the women, aged 26, was found due to documentary evidence at the house in Victoria Street.

Further enquiries revealed that she was working illegally, having over-stayed her visa, at the Old Deanery Care Village in Deanery Hill.

The men found at the car wash are a 34-year-old failed asylum seeker and a 22-year-old and a 36-year-old who had over-stayed their visas.

The wife found at Victoria Street is 34, and was found with a 29-year-old woman who had also over-stayed her visa.

Both Progressive Car Wash and Old Deanery Care Village could be subject to fines of up Â£10,000 per illegal worker if it is found that they failed to carry out the correct pre-employment checks, the Border Agency said.",England,Essex
https://www.bbc.co.uk/news/uk-england-derbyshire-24991977,Agency's licence revoked over illegal farm workers,2013,"The Gangmasters Licensing Authority has the power to revoke a licence for one critical breach of its rules. United Recruitment Services had seven

A firm that supplied illegal workers to pick crops has had its licence revoked following an appeal.

Derby-based United Recruitment Services supplied labour to farms in Lincolnshire.

An inspection by the Gangmasters Licensing Authority (GLA) uncovered 11 breaches of licensing standards.

They included using workers with fake passports and providing no proof of paying the National Minimum Wage, or holiday pay.

A breach of one critical licensing standard is sufficient for the GLA to revoke a licence. United Recruitment Services failed seven critical and four non-critical standards.

The firm's licence was first revoked in February but an appeal by managing director Chander Shekhar Guru allowed the business to continue trading until the case was heard.

Employment judge Peter Britton has now upheld the GLA's findings.

The licensing authority first visited the business at the end of October 2011 and found serious irregularities.

Judge Britton said: ""Of the 79 workers on the books at the time, only 15 were legally allowed to be working. A great many of them were illegal immigrants.""

He added that there were numerous entries in the files of employees, all from the Punjab region of India, who had been found to be working on ""forged passports"".

""To quote Oscar Wilde - one might be unfortunate, two might be very unfortunate but the sheer number in this case cannot be coincidental,"" he said.

""What it shows is that United Recruitment Services was in the business of employing illegal immigrants wholesale.""

The hearing, which concluded in Nottingham on Friday, was told GLA inspectors had discovered numerous serious failings in the operation of the business that Mr Guru ran from his home address, in Glencroft Drive, Stenson Fields.

As well as employing illegal workers, the company was found to be using two sets of timesheets and payslips, casting doubt on what tax payments were being made.

Mr Guru was unable to provide any satisfactory explanation to clarify issues identified by the GLA.

The judge dismissed his evidence as ""evasive"".

The ban will begin on 13 December, from which time Mr Guru will not be allowed to provide workers for agriculture, horticulture, food processing, packaging or shellfish gathering.",England,Derbyshire
https://www.bbc.co.uk/news/articles/cjw2yw51pn0o,Suspected illegal workers arrested at pick-up spot,2025,"Officers from the Home Office Immigration Enforcement team helped to arrest nine people

A group of suspected illegal workers have been arrested as they waited at a ""pick-up point"" in Bradford, the Home Office has said.

Nine men were detained by immigration enforcement officers at the junction of Naples Street and Whetley Lane as they waited to be driven to jobs on construction sites and in warehouses and distribution centres.

The Home Office and West Yorkshire Police were acting on intelligence that the location was regularly used for the purpose.

One of the men was found to have already failed an application for asylum and has been detained pending deportation.

The employers of the men will also be investigated while the police will look into potential driving offences connected to the operation.

Dame Angela Eagle, minister for border security and asylum, said: ""Immigration rules must be respected and enforced to stop the abuse of our borders, vulnerable people and the economy.""

Authorities promised there would be ""further crackdowns"" on pick-up hotspots.

Tell us which stories we should cover in Yorkshire

Listen to highlights fromWest Yorkshire on BBC Sounds, catch up with the latestepisode of Look North.",England,Bradford
